name,word,source
1,publication,longitudinal
1,law,longitudinal
1,school,longitudinal
1,admission,longitudinal
1,council,longitudinal
2,lsac,longitudinal
2,research,longitudinal
2,report,longitudinal
2,series,longitudinal
3,lsac,longitudinal
3,national,longitudinal
3,longitudinal,longitudinal
4,bar,longitudinal
4,passage,longitudinal
4,study,longitudinal
5,linda,longitudinal
5,wightman,longitudinal
6,historical,longitudinal
6,introduction,longitudinal
7,henry,longitudinal
7,ramsey,longitudinal
7,jr,longitudinal
9,law,longitudinal
9,school,longitudinal
9,admission,longitudinal
9,council,longitudinal
9,nonprofit,longitudinal
9,corporation,longitudinal
9,services,longitudinal
9,legal,longitudinal
10,education,longitudinal
10,community,longitudinal
10,law,longitudinal
10,schools,longitudinal
10,united,longitudinal
10,canada,longitudinal
11,copyright,longitudinal
11,law,longitudinal
11,school,longitudinal
11,admission,longitudinal
11,council,longitudinal
12,rights,longitudinal
12,reserved,longitudinal
12,book,longitudinal
12,reproduced,longitudinal
12,transmitted,longitudinal
12,means,longitudinal
13,electronic,longitudinal
13,mechanical,longitudinal
13,including,longitudinal
13,photocopying,longitudinal
13,recording,longitudinal
13,information,longitudinal
13,storage,longitudinal
13,retrieval,longitudinal
14,system,longitudinal
14,permission,longitudinal
14,publisher,longitudinal
14,information,longitudinal
14,write,longitudinal
14,communications,longitudinal
14,law,longitudinal
14,school,longitudinal
15,admission,longitudinal
15,council,longitudinal
15,box,longitudinal
15,penn,longitudinal
15,street,longitudinal
15,newtown,longitudinal
15,pa,longitudinal
16,study,longitudinal
16,published,longitudinal
16,distributed,longitudinal
16,law,longitudinal
16,school,longitudinal
16,admission,longitudinal
16,council,longitudinal
16,lsac,longitudinal
16,opinions,longitudinal
17,conclusions,longitudinal
17,contained,longitudinal
17,report,longitudinal
17,historical,longitudinal
17,introduction,longitudinal
17,authors,longitudinal
18,necessarily,longitudinal
18,reflect,longitudinal
18,position,longitudinal
18,policy,longitudinal
18,law,longitudinal
18,school,longitudinal
18,admission,longitudinal
18,council,longitudinal
20,table,longitudinal
20,contents,longitudinal
21,historical,longitudinal
21,introduction,longitudinal
21,iii,longitudinal
22,executive,longitudinal
22,summary,longitudinal
22,viii,longitudinal
23,introduction,longitudinal
24,chapter,longitudinal
24,summarizing,longitudinal
24,evaluating,longitudinal
24,national,longitudinal
24,bar,longitudinal
24,passage,longitudinal
24,data,longitudinal
25,methodologies,longitudinal
26,samples,longitudinal
27,jurisdictions,longitudinal
28,schools,longitudinal
29,participants,longitudinal
30,statistical,longitudinal
30,techniques,longitudinal
31,law,longitudinal
31,school,longitudinal
31,grades,longitudinal
31,law,longitudinal
31,schools,longitudinal
32,law,longitudinal
32,schools,longitudinal
33,logistic,longitudinal
33,regression,longitudinal
33,models,longitudinal
34,coding,longitudinal
34,methods,longitudinal
34,categorical,longitudinal
34,variables,longitudinal
35,results,longitudinal
36,summarizing,longitudinal
36,data,longitudinal
36,jurisdictions,longitudinal
37,summarizing,longitudinal
37,distribution,longitudinal
37,study,longitudinal
